Data; Radiação global
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 
2026/04/01; 56,6
2026/04/01; 563,5
2026/04/01; 1389,3
2026/04/01; 2204,9
2026/04/01; 1570,1
2026/04/01; 249,1
2026/04/01; 552,2
2026/04/01; 1682,9
2026/04/01; 1555,6
2026/04/01; 804,1
2026/04/01; 1078,3
2026/04/01; 212,4
2026/04/01; 2
2026/04/01; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 
2026/04/02; 45,2
2026/04/02; 437,5
2026/04/02; 1647,9
2026/04/02; 2307,9
2026/04/02; 1727,9
2026/04/02; 2978,2
2026/04/02; 2147,6
2026/04/02; 1707,8
2026/04/02; 720,1
2026/04/02; 235,3
2026/04/02; 328,3
2026/04/02; 110,3
2026/04/02; 
2026/04/02; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 
2026/04/03; 59,3
2026/04/03; 418,1
2026/04/03; 677,9
2026/04/03; 1212,2
2026/04/03; 1603,4
2026/04/03; 1467,9
2026/04/03; 1375,4
2026/04/03; 2134,4
2026/04/03; 1711,1
2026/04/03; 745,4
2026/04/03; 754,8
2026/04/03; 232,2
2026/04/03; 3,4
2026/04/03; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 
2026/04/04; 58,5
2026/04/04; 365
2026/04/04; 1140,3
2026/04/04; 2332
2026/04/04; 3163,9
2026/04/04; 2896,5
2026/04/04; 2583,6
2026/04/04; 2757,3
2026/04/04; 2330,2
2026/04/04; 2172,4
2026/04/04; 677,1
2026/04/04; 177,2
2026/04/04; 
2026/04/04; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 
2026/04/05; 107,6
2026/04/05; 838,2
2026/04/05; 1702
2026/04/05; 2361,2
2026/04/05; 2962,4
2026/04/05; 3033,7
2026/04/05; 3233
2026/04/05; 3242,2
2026/04/05; 2021,4
2026/04/05; 2160,3
2026/04/05; 1114,1
2026/04/05; 420,9
2026/04/05; 
2026/04/05; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 
2026/04/06; 94,9
2026/04/06; 396,7
2026/04/06; 1367,7
2026/04/06; 2558,9
2026/04/06; 2441,9
2026/04/06; 3283,1
2026/04/06; 3065,4
2026/04/06; 2207,9
2026/04/06; 1632,7
2026/04/06; 1225,1
2026/04/06; 243,1
2026/04/06; 135
2026/04/06; 
