date,temp_max_c,temp_min_c,precipitation_mm,wind_speed_max_kmh
2014-01-01,17.0,6.3,0.0,7.1
2014-01-02,18.4,3.9,0.0,10.2
2014-01-03,18.5,7.1,0.0,7.4
2014-01-04,18.8,4.1,0.0,12.9
2014-01-05,18.1,5.2,0.0,13.9
2014-01-06,16.7,4.2,0.0,10.3
2014-01-07,14.5,4.6,0.0,7.3
2014-01-08,14.0,9.0,0.0,12.3
2014-01-09,14.9,9.6,0.0,14.7
2014-01-10,15.5,6.8,0.0,6.7
2014-01-11,12.6,7.3,0.5,17.2
2014-01-12,16.4,4.7,0.0,14.0
2014-01-13,19.0,5.3,0.0,17.6
2014-01-14,20.7,3.3,0.0,14.5
2014-01-15,21.4,6.4,0.0,15.5
2014-01-16,21.2,6.3,0.0,14.3
2014-01-17,20.9,4.0,0.0,13.6
2014-01-18,21.1,3.5,0.0,10.8
2014-01-19,20.4,3.0,0.0,11.2
2014-01-20,20.1,2.8,0.0,8.8
2014-01-21,19.8,2.2,0.0,10.7
2014-01-22,18.5,7.0,0.0,6.7
2014-01-23,19.1,4.6,0.0,16.2
2014-01-24,19.8,4.0,0.0,5.7
2014-01-25,20.1,5.5,0.0,7.3
2014-01-26,18.1,7.4,0.0,7.9
2014-01-27,14.1,7.6,0.0,9.8
2014-01-28,16.4,9.2,0.0,11.6
2014-01-29,14.4,12.1,0.0,10.3
2014-01-30,14.6,9.8,1.5,17.8
2014-01-31,15.1,6.2,0.5,16.9
2014-02-01,13.8,4.7,0.0,12.0
2014-02-02,10.7,6.1,11.8,18.1
2014-02-03,12.0,3.6,0.0,18.3
2014-02-04,11.6,4.2,0.0,8.4
2014-02-05,11.0,3.8,0.5,14.2
2014-02-06,11.1,8.3,12.0,13.8
2014-02-07,12.7,9.9,5.6,23.8
2014-02-08,13.9,12.2,11.6,26.0
2014-02-09,14.1,12.6,16.0,20.5
2014-02-10,14.4,9.8,0.0,14.7
2014-02-11,13.3,6.1,0.0,9.4
2014-02-12,13.6,6.7,0.0,9.0
2014-02-13,15.8,9.8,0.0,7.6
2014-02-14,14.4,10.3,0.0,11.3
2014-02-15,14.1,9.6,1.1,16.1
2014-02-16,15.8,7.3,0.5,14.8
2014-02-17,13.7,5.3,0.0,15.5
2014-02-18,14.8,6.6,0.0,11.2
2014-02-19,16.3,9.3,0.0,13.1
2014-02-20,17.1,6.7,0.0,7.1
2014-02-21,17.8,7.4,0.0,10.1
2014-02-22,17.7,7.7,0.0,11.2
2014-02-23,15.8,8.6,0.0,8.8
2014-02-24,19.5,7.7,0.0,7.0
2014-02-25,15.8,9.1,0.0,12.8
2014-02-26,16.7,10.9,26.3,22.3
2014-02-27,16.2,11.1,5.9,20.7
2014-02-28,14.7,11.4,24.7,18.1
2014-03-01,17.6,11.4,5.4,20.3
2014-03-02,14.2,10.7,3.3,20.7
2014-03-03,14.8,11.1,9.0,12.1
2014-03-04,16.8,12.1,0.2,11.5
2014-03-05,17.2,12.2,4.4,16.5
2014-03-06,15.4,11.2,5.3,15.0
2014-03-07,16.9,8.3,0.0,11.9
2014-03-08,18.8,8.4,0.0,6.9
2014-03-09,20.3,12.1,0.0,6.8
2014-03-10,18.3,11.9,0.6,14.5
2014-03-11,19.2,8.4,0.0,21.4
2014-03-12,21.4,10.5,0.0,22.3
2014-03-13,20.4,10.3,0.0,14.4
2014-03-14,18.5,8.9,0.0,8.3
2014-03-15,20.8,9.0,0.0,9.4
2014-03-16,19.6,9.6,0.0,14.1
2014-03-17,18.6,9.9,0.0,16.4
2014-03-18,18.9,8.6,0.0,11.5
2014-03-19,20.7,9.8,0.0,9.7
2014-03-20,19.1,9.7,0.0,14.8
2014-03-21,16.1,8.8,0.0,15.5
2014-03-22,16.5,7.9,0.0,13.3
2014-03-23,16.2,8.1,0.0,10.9
2014-03-24,18.8,8.2,0.0,10.8
2014-03-25,15.5,7.2,1.7,21.4
2014-03-26,14.6,10.4,4.8,19.3
2014-03-27,15.9,9.9,0.1,16.1
